F01,F02,F03,F04,T
4.209,2.995,1.043,0.052,1
4.264,3.045,1.011,0.173,1
4.3,3,1.1,0.1,1
4.309,3.195,1.243,0.152,1
4.309,2.995,1.243,0.152,1
4.309,2.895,1.343,0.152,1
4.364,3.245,1.211,0.273,1
4.364,3.045,1.211,0.273,1
4.364,2.945,1.311,0.273,1
4.368,3.023,1.145,0.168,1
4.4,3.2,1.3,0.2,1
4.4,3,1.3,0.2,1
4.4,2.9,1.4,0.2,1
4.409,2.295,1.243,0.252,1
4.464,2.345,1.211,0.373,1
4.468,3.223,1.345,0.268,1
4.468,3.023,1.345,0.268,1
4.468,2.923,1.445,0.268,1
4.5,2.3,1.3,0.3,1
4.509,3.595,0.943,0.152,1
4.509,3.395,1.343,0.252,1
4.509,3.195,1.343,0.152,1
4.509,3.095,1.443,0.152,1
4.564,3.645,0.911,0.273,1
4.564,3.445,1.311,0.373,1
4.564,3.245,1.311,0.273,1
4.564,3.145,1.411,0.273,1
4.568,2.323,1.345,0.368,1
4.6,3.6,1,0.2,1
4.6,3.4,1.4,0.3,1
4.6,3.2,1.4,0.2,1
4.6,3.1,1.5,0.2,1
4.609,3.195,1.243,0.152,1
4.609,3.195,1.543,0.152,1
4.664,3.245,1.211,0.273,1
4.664,3.245,1.511,0.273,1
4.668,3.623,1.045,0.268,1
4.668,3.423,1.445,0.368,1
4.668,3.223,1.445,0.268,1
4.668,3.123,1.545,0.268,1
4.7,3.2,1.3,0.2,1
4.7,3.2,1.6,0.2,1
4.709,3.395,1.543,0.152,1
4.709,3.395,1.843,0.152,1
4.709,3.095,1.543,0.152,1
4.709,2.995,1.343,0.252,1
4.709,2.995,1.343,0.052,1
4.764,3.445,1.511,0.273,1
4.764,3.445,1.811,0.273,1
4.764,3.145,1.511,0.273,1
4.764,3.045,1.311,0.373,1
4.764,3.045,1.311,0.173,1
4.768,3.223,1.345,0.268,1
4.768,3.223,1.645,0.268,1
4.8,3.4,1.6,0.2,1
4.8,3.4,1.9,0.2,1
4.8,3.1,1.6,0.2,1
4.8,3,1.4,0.3,1
4.8,3,1.4,0.1,1
4.809,3.095,1.443,0.052,1
4.809,3.095,1.443,0.052,1
4.809,3.095,1.443,0.052,1
4.809,2.995,1.343,0.152,1
4.809,2.495,4.443,1.652,3
4.809,2.395,3.243,0.952,2
4.864,3.145,1.411,0.173,1
4.864,3.145,1.411,0.173,1
4.864,3.145,1.411,0.173,1
4.864,3.045,1.311,0.273,1
4.864,2.545,4.411,1.773,3
4.864,2.445,3.211,1.073,2
4.868,3.423,1.645,0.268,1
4.868,3.423,1.945,0.268,1
4.868,3.123,1.645,0.268,1
4.868,3.023,1.445,0.368,1
4.868,3.023,1.445,0.168,1
4.9,3.1,1.5,0.1,1
4.9,3.1,1.5,0.1,1
4.9,3.1,1.5,0.1,1
4.9,3,1.4,0.2,1
4.9,2.5,4.5,1.7,3
4.9,2.4,3.3,1,2
4.909,3.595,1.343,0.152,1
4.909,3.495,1.243,0.252,1
4.909,3.495,1.543,0.552,1
4.909,3.395,1.443,0.152,1
4.909,3.395,1.543,0.352,1
4.909,3.295,1.343,0.152,1
4.909,3.195,1.143,0.152,1
4.909,2.995,1.543,0.152,1
4.909,2.295,3.243,0.952,2
4.909,1.995,3.443,0.952,2
4.964,3.645,1.311,0.273,1
4.964,3.545,1.211,0.373,1
4.964,3.545,1.511,0.673,1
4.964,3.445,1.411,0.273,1
4.964,3.445,1.511,0.473,1
4.964,3.345,1.311,0.273,1
4.964,3.245,1.111,0.273,1
4.964,3.045,1.511,0.273,1
4.964,2.345,3.211,1.073,2
4.964,2.045,3.411,1.073,2
4.968,3.123,1.545,0.168,1
4.968,3.123,1.545,0.168,1
4.968,3.123,1.545,0.168,1
4.968,3.023,1.445,0.268,1
4.968,2.523,4.545,1.768,3
4.968,2.423,3.345,1.068,2
5,3.6,1.4,0.2,1
5,3.5,1.3,0.3,1
5,3.5,1.6,0.6,1
5,3.4,1.5,0.2,1
5,3.4,1.6,0.4,1
5,3.3,1.4,0.2,1
5,3.2,1.2,0.2,1
5,3,1.6,0.2,1
5,2.3,3.3,1,2
5,2,3.5,1,2
5.009,3.795,1.443,0.252,1
5.009,3.795,1.543,0.152,1
5.009,3.795,1.843,0.352,1
5.009,3.695,1.443,0.352,1
5.009,3.495,1.343,0.252,1
5.009,3.495,1.343,0.152,1
5.009,3.395,1.443,0.152,1
5.009,3.295,1.643,0.452,1
5.009,2.495,2.943,1.052,2
5.064,3.845,1.411,0.373,1
5.064,3.845,1.511,0.273,1
5.064,3.845,1.811,0.473,1
5.064,3.745,1.411,0.473,1
5.064,3.545,1.311,0.373,1
5.064,3.545,1.311,0.273,1
5.064,3.445,1.411,0.273,1
5.064,3.345,1.611,0.573,1
5.064,2.545,2.911,1.173,2
5.068,3.623,1.445,0.268,1
5.068,3.523,1.345,0.368,1
5.068,3.523,1.645,0.668,1
5.068,3.423,1.545,0.268,1
5.068,3.423,1.645,0.468,1
5.068,3.323,1.445,0.268,1
5.068,3.223,1.245,0.268,1
5.068,3.023,1.645,0.268,1
5.068,2.323,3.345,1.068,2
5.068,2.023,3.545,1.068,2
5.1,3.8,1.5,0.3,1
5.1,3.8,1.6,0.2,1
5.1,3.8,1.9,0.4,1
5.1,3.7,1.5,0.4,1
5.1,3.5,1.4,0.3,1
5.1,3.5,1.4,0.2,1
